Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,77.900002,80.849998,77.300003,78.099998,69.499054,56531
2020-05-01,78.099998,78.099998,78.099998,78.099998,69.499054,0
2020-05-04,77.900002,77.900002,76.099998,77.750000,69.187599,37588
2020-05-05,79.500000,79.500000,76.099998,76.300003,67.897285,26233
2020-05-06,76.699997,77.800003,72.550003,73.949997,65.806084,57466
2020-05-07,73.400002,74.400002,69.599998,73.699997,65.583603,114078
2020-05-08,74.400002,80.300003,74.400002,79.400002,70.655884,104081
2020-05-11,80.500000,83.550003,77.849998,78.349998,69.721519,61222
2020-05-12,78.349998,81.800003,78.349998,80.300003,71.456772,49595
2020-05-13,80.000000,80.000000,77.550003,78.099998,69.499054,34616
2020-05-14,78.599998,78.599998,75.000000,77.500000,68.965126,61303
2020-05-15,78.000000,80.599998,76.800003,77.000000,68.520187,23894
2020-05-18,78.199997,79.300003,74.000000,75.699997,67.363350,131968
2020-05-19,77.000000,78.800003,76.050003,77.500000,68.965126,49259
2020-05-20,76.650002,80.699997,76.150002,80.050003,71.234306,71496
2020-05-21,80.050003,80.500000,78.699997,78.699997,70.032974,27393
2020-05-22,79.099998,79.099998,75.099998,78.000000,69.410065,77974
2020-05-25,77.300003,88.000000,77.099998,86.400002,76.884995,147121
2020-05-26,87.949997,98.050003,86.599998,98.050003,87.252007,185432
2020-05-27,100.000000,100.900002,90.500000,94.000000,83.648026,180155
2020-05-28,96.000000,100.900002,92.000000,96.900002,86.228661,183996
2020-05-29,95.000000,99.949997,92.650002,99.949997,88.942764,134286
2020-06-01,101.800003,104.500000,100.000000,103.000000,91.656883,72204
2020-06-02,102.400002,108.000000,101.199997,107.199997,95.394341,113384
2020-06-03,107.900002,117.500000,107.800003,116.400002,103.581169,138590
2020-06-04,118.000000,118.300003,113.900002,116.099998,103.314209,85655
2020-06-05,114.000000,121.400002,113.500000,119.500000,106.339775,146483
2020-06-08,120.000000,122.900002,115.199997,117.000000,104.115097,138689
2020-06-09,116.800003,117.500000,110.000000,117.300003,104.382065,146068
2020-06-10,117.500000,119.000000,116.199997,117.699997,104.738007,104841
2020-06-11,117.699997,117.699997,117.699997,117.699997,104.738007,0
2020-06-12,110.000000,115.500000,105.400002,114.000000,101.445473,66722
2020-06-15,113.000000,113.000000,107.500000,110.000000,97.885994,70299
2020-06-16,111.000000,112.699997,108.400002,109.300003,97.263077,90996
2020-06-17,109.000000,111.199997,106.099998,107.400002,95.572319,54412
2020-06-18,106.800003,110.699997,105.099998,109.000000,96.996109,31732
2020-06-19,109.000000,110.400002,107.000000,109.199997,97.174080,57639
2020-06-22,109.199997,110.000000,107.400002,110.000000,97.885994,55446
2020-06-23,111.000000,115.500000,109.800003,114.699997,102.068390,63520
2020-06-24,115.099998,115.099998,109.000000,109.000000,96.996109,41992
2020-06-25,109.000000,109.000000,105.800003,108.199997,96.284218,21470
2020-06-26,109.000000,109.000000,104.099998,104.599998,93.080673,21267
2020-06-29,104.599998,106.699997,101.500000,106.599998,94.860420,28461
2020-06-30,106.699997,108.099998,102.300003,107.900002,96.017250,57640
2020-07-01,108.099998,108.099998,102.699997,105.000000,93.436623,29725
2020-07-02,106.000000,112.300003,104.000000,110.000000,97.885994,42311
2020-07-03,110.099998,111.400002,107.400002,109.400002,97.352058,14787
2020-07-06,109.000000,110.000000,106.599998,106.599998,94.860420,21452
2020-07-07,106.099998,106.699997,103.199997,105.099998,93.525604,40408
2020-07-08,105.000000,105.400002,103.599998,103.900002,92.457771,21108
2020-07-09,103.000000,104.400002,101.800003,102.000000,90.766998,60044
2020-07-10,102.300003,110.599998,101.099998,110.000000,97.885994,147322
2020-07-13,111.000000,116.199997,111.000000,111.599998,99.309784,38954
2020-07-14,111.000000,111.599998,105.800003,106.400002,94.682449,38186
2020-07-15,106.599998,109.300003,104.500000,108.400002,96.462196,23780
2020-07-16,107.500000,110.599998,106.000000,109.800003,97.708015,24278
2020-07-17,111.000000,111.000000,107.000000,107.500000,95.661308,9713
2020-07-20,107.599998,114.000000,104.099998,113.500000,101.000542,62922
2020-07-21,114.000000,124.000000,113.000000,117.699997,104.738007,115774
2020-07-22,119.500000,121.900002,115.000000,115.000000,102.335350,34672
2020-07-23,115.000000,121.199997,115.000000,119.199997,106.072815,40574
2020-07-24,117.500000,119.000000,116.000000,117.599998,104.649017,28916
2020-07-27,117.599998,119.000000,116.199997,117.099998,104.204079,17528
2020-07-28,124.000000,138.899994,122.099998,136.399994,121.378616,86907
2020-07-29,137.199997,137.199997,126.000000,132.899994,118.264061,45045
2020-07-30,132.399994,132.800003,121.699997,125.000000,111.234077,91045
2020-07-31,125.000000,130.800003,125.000000,128.699997,114.526604,47341
2020-08-03,130.199997,138.000000,130.000000,137.000000,121.912552,38753
2020-08-04,138.399994,138.399994,130.100006,136.899994,121.823555,51187
2020-08-05,137.800003,139.500000,134.500000,139.399994,124.048225,16608
2020-08-06,139.500000,139.500000,133.699997,134.300003,119.509888,16264
2020-08-07,134.000000,137.100006,133.000000,137.100006,122.001541,27372
2020-08-10,135.699997,136.399994,133.300003,133.899994,119.153938,7878
2020-08-11,133.899994,138.000000,128.199997,129.000000,114.793571,29373
2020-08-12,129.000000,133.699997,128.100006,129.600006,115.327492,30767
2020-08-13,131.800003,134.600006,129.699997,133.100006,118.442047,25229
2020-08-14,134.000000,136.000000,131.199997,135.000000,120.132797,15382
2020-08-17,135.500000,141.000000,135.500000,139.000000,123.692299,25551
2020-08-18,139.500000,142.000000,135.199997,136.100006,121.111671,29449
2020-08-19,136.100006,137.399994,134.699997,135.000000,120.132797,5639
2020-08-20,134.500000,134.500000,129.100006,130.000000,115.683434,23954
2020-08-21,132.500000,133.000000,127.000000,129.899994,115.594444,16159
2020-08-24,130.000000,135.899994,129.899994,131.000000,116.573311,22951
2020-08-25,132.500000,135.199997,131.500000,131.899994,117.374199,8322
2020-08-26,130.199997,134.000000,130.199997,132.000000,117.463188,10671
2020-08-27,132.000000,132.600006,130.600006,131.800003,117.285217,45425
2020-08-28,138.000000,148.300003,135.899994,147.000000,130.811264,111939
2020-08-31,148.000000,149.000000,143.000000,147.500000,131.256210,32926
2020-09-01,150.000000,159.800003,147.699997,155.899994,138.731125,97389
2020-09-02,156.100006,159.800003,152.600006,156.699997,139.443039,53473
2020-09-03,157.199997,158.300003,149.300003,149.399994,132.946976,101733
2020-09-04,147.500000,148.000000,141.000000,146.000000,134.420059,43130
2020-09-07,146.399994,153.000000,146.399994,150.000000,138.102798,22864
2020-09-08,152.000000,153.000000,139.500000,143.000000,131.658005,53527
2020-09-09,141.100006,145.699997,141.100006,143.899994,132.486603,102481
2020-09-10,145.899994,147.000000,141.300003,143.699997,132.302475,40068
2020-09-11,144.000000,145.699997,141.500000,141.500000,130.276978,51409
2020-09-14,143.000000,143.000000,141.500000,142.199997,130.921448,13455
2020-09-15,142.199997,142.699997,140.699997,142.000000,130.737320,50056
2020-09-16,142.300003,142.699997,141.000000,141.399994,130.184906,96023
2020-09-17,140.000000,141.800003,139.500000,141.199997,130.000763,11740
2020-09-18,139.100006,141.199997,130.000000,137.500000,126.594231,39249
2020-09-21,138.800003,143.800003,127.699997,132.800003,122.267014,44593
2020-09-22,132.800003,137.300003,130.800003,137.000000,126.133896,11778
2020-09-23,137.500000,140.000000,132.500000,132.699997,122.174942,12497
2020-09-24,131.000000,131.500000,126.099998,128.000000,117.847725,36967
2020-09-25,127.500000,130.899994,125.099998,129.899994,119.597015,19560
2020-09-28,131.000000,132.800003,126.000000,131.500000,121.070122,25634
2020-09-29,131.000000,131.500000,128.300003,131.000000,120.609779,3891
2020-09-30,130.100006,133.399994,128.199997,131.199997,120.793915,10991
2020-10-01,130.500000,135.500000,129.300003,133.100006,122.543221,12226
2020-10-02,134.899994,134.899994,130.199997,132.199997,121.714600,26616
2020-10-05,132.100006,139.000000,131.300003,137.399994,126.502167,24751
2020-10-06,139.000000,142.399994,132.899994,133.899994,123.279762,45307
2020-10-07,132.199997,139.399994,132.199997,138.000000,127.054581,36312
2020-10-08,137.300003,138.199997,134.000000,135.199997,124.476654,64931
2020-10-09,135.000000,135.000000,128.199997,132.000000,121.530464,37331
